Fold 1,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN,,Confusion Matrix
,2,0.96,0.92,0.94,0.93,0.99,22,215,1,2,,0,0,22,0,0,0,0,0,2,0
,3,0.85,0.96,0.9,0.89,0.98,22,213,4,1,,0,0,0,22,1,0,0,0,0,0
,4,0.86,0.95,0.9,0.9,0.98,19,217,3,1,,0,0,0,0,19,0,0,0,0,1
,5,0.88,0.85,0.86,0.85,0.97,22,211,3,4,,1,0,0,2,0,22,1,0,0,0
,6,0.96,0.96,0.96,0.96,0.99,24,214,1,1,,0,1,0,0,0,0,24,0,0,0
,7,0.92,0.92,0.92,0.91,0.99,11,227,1,1,,0,0,0,1,0,0,0,11,0,0
,8,0.88,0.88,0.88,0.87,0.98,22,212,3,3,,0,1,1,0,0,1,0,0,22,0
,9,0.92,0.85,0.88,0.87,0.98,23,211,2,4,,0,0,0,0,1,1,0,1,1,23
Overall MCC,0.9
Overall Accuracy,0.91

Fold 10,Digit,Precision,Recall,F1-Score,MCC Score,Accuracy,TP,TN,FP,FN,,Confusion Matrix
,0,0.96,1.0,0.98,0.98,1.0,26,213,1,0,,26,0,0,0,0,0,0,0,0,0
,1,1.0,1.0,1.0,1.0,1.0,22,218,0,0,,0,22,0,0,0,0,0,0,0,0
,2,0.94,1.0,0.97,0.97,1.0,16,223,1,0,,0,0,16,0,0,0,0,0,0,0
,3,0.96,1.0,0.98,0.98,1.0,25,214,1,0,,0,0,0,25,0,0,0,0,0,0
,4,1.0,0.94,0.97,0.96,0.99,30,208,0,2,,0,0,1,0,30,0,0,0,1,0
,5,1.0,0.89,0.94,0.94,0.99,25,212,0,3,,0,0,0,1,0,25,1,0,1,0
,6,0.93,0.96,0.95,0.94,0.99,26,211,2,1,,0,0,0,0,0,0,26,0,1,0
,7,1.0,1.0,1.0,1.0,1.0,24,216,0,0,,0,0,0,0,0,0,0,24,0,0
,8,0.84,0.94,0.89,0.88,0.98,16,220,3,1,,0,0,0,0,0,0,1,0,16,0
,9,1.0,0.96,0.98,0.98,1.0,22,217,0,1,,1,0,0,0,0,0,0,0,0,22
Overall MCC,0.96
Overall Accuracy,0.97

